소속,종목코드,종목명,현재가,시가총액(억),PER,ROE,PER순위,ROE순위,순위합산,종합순위,종목그래프
KOSDAQ,'071200,인피니트헬스케어,6330,1544,100.48,2.2,1277,1185,2462,1257,https://finance.naver.com/item/main.nhn?code=071200
KOSDAQ,'060150,인선이엔티,6490,2375,77.26,1.91,1249,1213,2462,1258,https://finance.naver.com/item/main.nhn?code=060150
KOSDAQ,'046390,삼화네트웍스,1440,619,80.0,1.97,1253,1210,2463,1259,https://finance.naver.com/item/main.nhn?code=046390
KOSDAQ,'043340,에쎈테크,934,672,103.78,2.19,1280,1186,2466,1260,https://finance.naver.com/item/main.nhn?code=043340
KOSDAQ,'054450,텔레칩스,8890,1201,77.98,1.9,1250,1216,2466,1261,https://finance.naver.com/item/main.nhn?code=054450
KOSDAQ,'111820,지와이커머스,2250,463,50.0,1.07,1164,1303,2467,1262,https://finance.naver.com/item/main.nhn?code=111820
KOSPI,'031820,콤텍시스템,1585,758,66.04,1.52,1213,1255,2468,1263,https://finance.naver.com/item/main.nhn?code=031820
KOSPI,'002390,한독,28300,3895,73.13,1.72,1234,1235,2469,1264,https://finance.naver.com/item/main.nhn?code=002390
KOSDAQ,'033200,모아텍,4540,651,62.19,1.42,1204,1267,2471,1265,https://finance.naver.com/item/main.nhn?code=033200
KOSDAQ,'026180,현대정보기술,1650,982,97.06,1.98,1272,1207,2479,1266,https://finance.naver.com/item/main.nhn?code=026180
KOSDAQ,'063440,SM Life Design,1660,734,83.0,1.88,1258,1221,2479,1267,https://finance.naver.com/item/main.nhn?code=063440
KOSPI,'000150,두산,119500,21795,74.97,1.67,1239,1240,2479,1268,https://finance.naver.com/item/main.nhn?code=000150
KOSDAQ,'187420,제노포커스,8110,1747,124.77,2.23,1298,1182,2480,1269,https://finance.naver.com/item/main.nhn?code=187420
KOSPI,'002310,아세아제지,30150,2700,53.74,1.09,1183,1298,2481,1270,https://finance.naver.com/item/main.nhn?code=002310
KOSPI,'002720,국제약품,4530,818,75.5,1.62,1240,1245,2485,1271,https://finance.naver.com/item/main.nhn?code=002720
